pollution (noun)	<b>polusi / pencemaran</b><br>The presence of harmful substances in the environment.<br>Related: pollute, pollutant, air pollution, water pollution.<br><i>Air pollution in big cities causes serious health problems.</i>	ielts vocab topic environment
deforestation (noun)	<b>penggundulan hutan</b><br>The action of clearing a wide area of trees.<br>Related: deforest, forest loss, logging.<br><i>Deforestation in the Amazon threatens countless species.</i>	ielts vocab topic environment
renewable (adjective)	<b>terbarukan</b><br>Able to be replaced naturally; not running out.<br>Related: renewable energy, renewable resources, non-renewable.<br><i>Wind and solar are renewable sources of energy.</i>	ielts vocab topic environment
ecosystem (noun)	<b>ekosistem</b><br>A community of living things interacting with their environment.<br>Related: ecology, ecological balance, marine ecosystem.<br><i>Coral reefs are among the most diverse ecosystems on Earth.</i>	ielts vocab topic environment
biodiversity (noun)	<b>keanekaragaman hayati</b><br>The variety of plant and animal life in an area.<br>Related: biological diversity, species, conservation.<br><i>Tropical rainforests are rich in biodiversity.</i>	ielts vocab topic environment
emissions (noun)	<b>emisi / gas buangan</b><br>Gases released into the atmosphere, often from burning fuel.<br>Related: emit, carbon emissions, greenhouse emissions.<br><i>Governments are working to reduce carbon emissions globally.</i>	ielts vocab topic environment
conservation (noun)	<b>konservasi / pelestarian</b><br>Protection of plants, animals, and natural areas.<br>Related: conserve, conservationist, wildlife conservation.<br><i>Conservation efforts have saved many species from extinction.</i>	ielts vocab topic environment
climate change (noun phrase)	<b>perubahan iklim</b><br>Long-term shifts in temperatures and weather patterns.<br>Related: global warming, climate crisis, climate action.<br><i>Climate change is causing sea levels to rise rapidly.</i>	ielts vocab topic environment
recycle (verb)	<b>mendaur ulang</b><br>To convert waste into reusable material.<br>Related: recycling, recyclable, reuse, reduce.<br><i>We should recycle paper, plastic, and glass at home.</i>	ielts vocab topic environment
fossil fuel (noun phrase)	<b>bahan bakar fosil</b><br>Natural fuels like coal, oil, and gas formed from ancient organisms.<br>Related: coal, petroleum, non-renewable energy.<br><i>Burning fossil fuels is the main cause of global warming.</i>	ielts vocab topic environment
ozone layer (noun phrase)	<b>lapisan ozon</b><br>A layer in the atmosphere that protects Earth from UV rays.<br>Related: ozone depletion, stratosphere, CFCs.<br><i>The ozone layer absorbs most of the sun's harmful radiation.</i>	ielts vocab topic environment
greenhouse gas (noun phrase)	<b>gas rumah kaca</b><br>A gas that traps heat in the atmosphere.<br>Related: carbon dioxide, methane, greenhouse effect.<br><i>Carbon dioxide is the most common greenhouse gas.</i>	ielts vocab topic environment
sustainable (adjective)	<b>berkelanjutan</b><br>Able to continue over time without harming the environment.<br>Related: sustainability, sustainable development.<br><i>Solar power is a sustainable source of energy.</i>	ielts vocab topic environment
endangered (adjective)	<b>terancam punah</b><br>At risk of becoming extinct.<br>Related: endangered species, extinct, threatened.<br><i>The Sumatran tiger is critically endangered.</i>	ielts vocab topic environment
habitat (noun)	<b>habitat / tempat tinggal alami</b><br>The natural home of an animal or plant.<br>Related: natural habitat, habitat loss, ecosystem.<br><i>Pandas live in bamboo forests, their natural habitat.</i>	ielts vocab topic environment
curriculum (noun)	<b>kurikulum</b><br>The subjects taught in a school or course.<br>Related: syllabus, curricula, national curriculum.<br><i>The school updated its curriculum to include coding.</i>	ielts vocab topic education
scholarship (noun)	<b>beasiswa</b><br>Financial aid awarded to students for academic merit.<br>Related: scholar, grant, bursary, full scholarship.<br><i>She won a scholarship to study at Oxford University.</i>	ielts vocab topic education
tuition (noun)	<b>biaya kuliah / les</b><br>Money paid for instruction, especially at university.<br>Related: tuition fees, private tuition, tutor.<br><i>University tuition fees have risen sharply in recent years.</i>	ielts vocab topic education
vocational (adjective)	<b>kejuruan</b><br>Related to skills training for a specific job.<br>Related: vocational training, vocation, vocational school.<br><i>Vocational courses prepare students for practical careers.</i>	ielts vocab topic education
undergraduate (noun)	<b>mahasiswa S1</b><br>A university student studying for a first degree.<br>Related: undergraduate degree, bachelor's, freshman.<br><i>As an undergraduate, he studied economics for four years.</i>	ielts vocab topic education
postgraduate (noun)	<b>mahasiswa pascasarjana</b><br>A student studying for an advanced degree after a bachelor's.<br>Related: master's, PhD, postgraduate studies.<br><i>She is a postgraduate student researching renewable energy.</i>	ielts vocab topic education
literacy (noun)	<b>kemampuan baca tulis</b><br>The ability to read and write.<br>Related: literate, illiteracy, digital literacy.<br><i>Literacy rates have improved across developing countries.</i>	ielts vocab topic education
distance learning (noun phrase)	<b>pembelajaran jarak jauh</b><br>Education delivered remotely, often online.<br>Related: online learning, e-learning, remote study.<br><i>Distance learning became popular during the pandemic.</i>	ielts vocab topic education
peer pressure (noun phrase)	<b>tekanan dari teman sebaya</b><br>Influence from people of the same age group.<br>Related: peers, social pressure, conformity.<br><i>Teenagers often face peer pressure to fit in at school.</i>	ielts vocab topic education
academic (adjective)	<b>akademis</b><br>Related to education, especially at universities.<br>Related: academic year, academia, academic performance.<br><i>His academic achievements earned him a place at Cambridge.</i>	ielts vocab topic education
lecture (noun)	<b>kuliah / ceramah</b><br>A formal talk given to students.<br>Related: lecturer, lecture hall, attend a lecture.<br><i>Students take notes during the professor's lecture.</i>	ielts vocab topic education
syllabus (noun)	<b>silabus</b><br>An outline of topics covered in a course.<br>Related: curriculum, course outline, syllabi.<br><i>The syllabus lists all the topics for this semester.</i>	ielts vocab topic education
qualification (noun)	<b>kualifikasi / ijazah</b><br>A certificate or skill showing ability or knowledge.<br>Related: qualify, qualified, professional qualification.<br><i>He has the qualifications needed for the teaching job.</i>	ielts vocab topic education
plagiarism (noun)	<b>plagiarisme / penjiplakan</b><br>Copying someone else's work and claiming it as your own.<br>Related: plagiarize, plagiarist, academic misconduct.<br><i>Plagiarism is a serious offense at every university.</i>	ielts vocab topic education
drop out (phrasal verb)	<b>putus sekolah / berhenti kuliah</b><br>To leave school or college before finishing.<br>Related: dropout, quit, withdraw.<br><i>Many students drop out of university due to financial problems.</i>	ielts vocab topic education
obesity (noun)	<b>obesitas / kegemukan</b><br>The condition of being seriously overweight.<br>Related: obese, overweight, body mass index.<br><i>Childhood obesity has become a major public health issue.</i>	ielts vocab topic health
sedentary (adjective)	<b>kurang gerak / banyak duduk</b><br>Involving little physical activity.<br>Related: sedentary lifestyle, inactive, desk job.<br><i>A sedentary lifestyle increases the risk of heart disease.</i>	ielts vocab topic health
nutrition (noun)	<b>nutrisi / gizi</b><br>The process of getting food needed for health and growth.<br>Related: nutritious, nutrient, balanced diet.<br><i>Good nutrition is essential for children's development.</i>	ielts vocab topic health
immune system (noun phrase)	<b>sistem kekebalan tubuh</b><br>The body's defense against infections and disease.<br>Related: immunity, immune response, immunize.<br><i>Vitamin C helps strengthen your immune system.</i>	ielts vocab topic health
mental health (noun phrase)	<b>kesehatan mental</b><br>A person's emotional and psychological well-being.<br>Related: mental illness, anxiety, depression, well-being.<br><i>More schools are addressing mental health among students.</i>	ielts vocab topic health
well-being (noun)	<b>kesejahteraan</b><br>The state of being healthy, comfortable, and happy.<br>Related: wellness, welfare, physical well-being.<br><i>Exercise improves both physical and mental well-being.</i>	ielts vocab topic health
diagnose (verb)	<b>mendiagnosis</b><br>To identify an illness or problem.<br>Related: diagnosis, diagnostic, undiagnosed.<br><i>Doctors diagnosed her with diabetes last year.</i>	ielts vocab topic health
contagious (adjective)	<b>menular</b><br>Spread from one person to another by contact.<br>Related: infectious, contagion, communicable disease.<br><i>The flu is highly contagious during winter months.</i>	ielts vocab topic health
cardiovascular (adjective)	<b>kardiovaskular / terkait jantung dan pembuluh darah</b><br>Related to the heart and blood vessels.<br>Related: heart disease, cardiovascular system, circulation.<br><i>Regular exercise lowers the risk of cardiovascular disease.</i>	ielts vocab topic health
chronic (adjective)	<b>kronis / menahun</b><br>Lasting a long time; persistent.<br>Related: chronic illness, chronic pain, long-term.<br><i>She suffers from chronic back pain after the accident.</i>	ielts vocab topic health
vaccine (noun)	<b>vaksin</b><br>A substance that protects against disease.<br>Related: vaccination, vaccinate, immunization.<br><i>The COVID-19 vaccine saved millions of lives worldwide.</i>	ielts vocab topic health
