affect vs effect	<b>affect = verb (mempengaruhi); effect = noun (efek/dampak)</b><br>"Affect" adalah kata kerja, "effect" adalah kata benda. Bahasa Indonesia tidak membedakan bentuk verb/noun jadi sering tertukar.<br><i>Climate change <u>affects</u> agriculture. (verb)</i><br><i>The <u>effects</u> of climate change are severe. (noun)</i>	ielts vocab confusing-pairs
accept vs except	<b>accept = menerima (verb); except = kecuali (preposition)</b><br>Pelajar Indonesia sering tertukar karena pengucapannya mirip. "Accept" = menerima sesuatu; "except" = pengecualian.<br><i>I <u>accept</u> your apology.</i><br><i>Everyone came <u>except</u> John.</i>	ielts vocab confusing-pairs
advice vs advise	<b>advice = noun (nasihat); advise = verb (menasihati)</b><br>Bahasa Indonesia pakai satu kata "nasihat/menasihati" jadi mudah keliru. Ingat: "advice" dengan -ce = noun, "advise" dengan -se = verb.<br><i>She gave me good <u>advice</u>. (noun)</i><br><i>I <u>advise</u> you to study harder. (verb)</i>	ielts vocab confusing-pairs
principal vs principle	<b>principal = kepala sekolah / utama; principle = prinsip/asas</b><br>Homofon yang sangat sering tertukar dalam writing. "PrincipAL" = orang/utama (think "pAL" = teman); "PrinciplE" = aturan/asas.<br><i>The school <u>principal</u> gave a speech.</i><br><i>Honesty is an important <u>principle</u>.</i>	ielts vocab confusing-pairs
complement vs compliment	<b>complement = melengkapi; compliment = pujian</b><br>Beda satu huruf, tapi makna jauh berbeda. "ComplEment" = melEngkapi (E for Enhance); "ComplIment" = pujIan (I for "I like it").<br><i>The wine <u>complements</u> the meal perfectly.</i><br><i>She gave me a nice <u>compliment</u> about my work.</i>	ielts vocab confusing-pairs
stationary vs stationery	<b>stationAry = diam/tidak bergerak; stationEry = alat tulis</b><br>Homofon. Trik: stationEry = pEn/pEncil (alat tulis); stationAry = stAnding still (diam).<br><i>The car remained <u>stationary</u> at the traffic light.</i><br><i>I bought new <u>stationery</u> for school.</i>	ielts vocab confusing-pairs
their vs there vs they're	<b>their = milik mereka; there = di sana; they're = they are</b><br>Homofon yang sering salah dalam writing. "Their" = posesif; "there" = tempat; "they're" = kontraksi.<br><i><u>Their</u> house is big. (kepunyaan)</i><br><i><u>There</u> are many books. / <u>They're</u> coming soon.</i>	ielts vocab confusing-pairs
its vs it's	<b>its = miliknya (posesif); it's = it is / it has</b><br>Aturan: kalau bisa diganti "it is" pakai "it's"; kalau tidak, pakai "its". Beda dengan posesif lain, "its" TIDAK pakai apostrof.<br><i>The dog wagged <u>its</u> tail. (posesif)</i><br><i><u>It's</u> raining outside. (it is)</i>	ielts vocab confusing-pairs
lose vs loose	<b>lose = kehilangan/kalah (verb); loose = longgar (adjective)</b><br>"Lose" satu O = verb; "loose" dua O = adjective. Pelafalan beda: lose /luːz/, loose /luːs/.<br><i>Don't <u>lose</u> your keys!</i><br><i>These pants are too <u>loose</u>.</i>	ielts vocab confusing-pairs
than vs then	<b>than = daripada (perbandingan); then = kemudian/lalu (waktu)</b><br>"Than" untuk membandingkan; "then" untuk urutan waktu/konsekuensi.<br><i>She is taller <u>than</u> me. (perbandingan)</i><br><i>I finished work, <u>then</u> went home. (waktu)</i>	ielts vocab confusing-pairs
